,player,team,games,depthAim,rushCarries,ADP,age,olRank
0,Josh Allen,BUF,17,9.0,122,22.0,26.0,20
1,Patrick Mahomes II,KC,17,7.6,66,29.0,27.0,9
2,Justin Herbert,LAC,17,7.9,63,36.0,24.0,12
3,Lamar Jackson,BLT,12,10.0,133,42.0,25.0,17
4,Kyler Murray,ARZ,14,8.3,88,52.0,25.0,25
5,Jalen Hurts,PHI,15,9.3,140,56.0,24.0,1
6,Tom Brady,TB,17,8.4,28,64.0,45.0,4
7,Aaron Rodgers,GB,16,8.1,33,68.0,39.0,5
8,Joe Burrow,CIN,16,8.6,40,74.0,26.0,8
9,Dak Prescott,DAL,16,8.2,48,75.0,29.0,6
10,Russell Wilson,DEN,14,10.2,41,77.0,34.0,16
11,Matthew Stafford,LA,17,8.8,32,87.0,34.0,11
12,Trey Lance,SF,6,10.3,39,104.0,22.0,14
13,Derek Carr,LV,17,8.4,40,114.0,31.0,29
14,Kirk Cousins,MIN,16,8.5,28,125.0,34.0,19
15,Tua Tagovailoa,MIA,13,7.4,41,135.0,24.0,23
16,Trevor Lawrence,JAX,17,8.2,73,142.0,23.0,26
17,Justin Fields,CHI,12,10.1,72,149.0,23.0,31
18,Jameis Winston,NO,7,9.5,32,166.0,28.0,21
19,Matt Ryan,IND,17,7.8,40,171.0,37.0,10
20,Mac Jones,NE,17,8.3,44,173.0,24.0,7
21,Baker Mayfield,CAR,14,9.2,37,174.0,27.0,24
22,Ryan Tannehill,TEN,17,7.9,55,175.0,34.0,27
23,Carson Wentz,WAS,17,8.4,57,177.0,29.0,15
24,Daniel Jones,NYG,11,7.3,62,187.0,25.0,18
25,Taysom Hill,NO,12,8.1,70,205.0,32.0,21
26,Jared Goff,DET,14,6.8,17,207.0,28.0,3
27,Zach Wilson,NYJ,13,8.0,28,218.0,23.0,13
28,Marcus Mariota,LV,8,15.0,13,223.0,29.0,29
